English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
BOND,A certificate or evidence of a debt.,BONO,Un certificado o evidencia de una deuda.,
BOOK (BOOKING),"What the police do when they arrest someone. Includes taking fingerprints, photographs, and writing down personal information about the person.",FICHAR,"Lo que la policía hace cuando arresta a alguien.  Incluye tomar huellas digitales, fotografías, y anotar información personal sobre la persona.",
BOOKING NUMBER,The number assigned to the criminal record that corresponds to the person's arrest.,NÚMERO DE REGISTRO,El número asignado al expediente penal que coresponde al arresto del acusado.,
BOOKMAKING,Collecting the bets of others or making odds on future gambling events.,ORGANIZAR APUESTAS,Cobrar las apuestas de otras personas o calcular las posibilidades de ganar apuestas para futuros juegos.,
BRADY MOTION,A motion made by defense when they believe the District Attorney has not turned over exculpatory and material evidence.,MOCIÓN BRADY,Moción hecha por la defensa cuando cree que el fiscal de distrito no ha entregado evidencias exculpatorias o relevantes.,
BRANDISHING A WEAPON,"Showing a weapon to another person, typically the police or the victim.",BLANDIR UNA ARMA,"Mostrar un arma a alguien, típicamente a la policía o a la víctima.",
BREACH,"The breaking or violating of a law, right, obligation, or duty either by doing an act or failing to do an act.",INCUMPLIMIENTO,"Violación o quebrantamiento de una ley, derecho, obligación o deber al actuar o dejar de actuar.",
BREACH OF PEACE,"Every person who unlawfully fights in a public place or willfully and maliciously disturbs another person by loud and unreasonable noise, or in a public place, says offensive words to one or more persons which are likely to start an immediate violent reaction.",ALTERACIÓN DEL ORDEN PÚBLICO,"Cada persona que ilícitamente pelea en un lugar público o deliberada y maliciosamente molesta a otra persona con ruido alto y excesivo, o en un lugar público, dice palabras ofensivas a una o más personas, ofensas que pueden causar una reacción inmediata y violenta.",
BREAKING AND ENTERING,Going into someone's house at night with intent to commit a felony.,INGRESO VIOLENTO Y SIN AUTORIZACIÓN,Entrar  al hogar de alguien con  el intento de cometer un delito grave.,
BREATHALIZER TEST,Testing someone's breath to see how much alcohol is in their blood.,EXAMEN DE ALIENTO,Examen del aliento para determinar el contenido de alcohol en la sangre.,
BRIBE,"A gift, not necessarily of monetary value, given to influence the conduct of the receiver.",COHECHO O SOBORNO,"Un regalo, no necesariamente de valor monetario, dado para influir en la conducta del destinatario.",
BRIEF,A written statement that each side gives the court to say why the court should decide that they are right.,ESCRITO,Una afirmación escrita que cada una de las partes somete al tribunal para explicar por qué el tribunal debe fallar a su favor.,
BURDEN OF PROOF,When one person in the case has to prove more than the other  person.,CARGA DE PRUEBA,Cuando una persona en el litigio tiene que probar sus afirmaciones en mayor medida que la otra persona.,
BURGLARY,"When someone unlawfully breaks into or enters a building or home, and they intend to or do commit a theft or other serious crime.",ROBO EN CASA,Cuando alguien ilegalmente ingresa en un edificio o casa con el intento de  cometer un robo u otro delito serio.,
BYSTANDERS,A chance onlooker; one who has no concern with the business being conducted.,TESTIGO CIRCUNSTANCIAL,Un  espectador casual; uno que no tiene nada que ver con el asunto en cuestión.,
CALENDAR,"A list, in alphabetical order, of all the cases in each courtroom every day. ""To calendar"" something means to give a day, time, and courtroom to a case.",CALENDARIO JUDICIAL,"Una lista, en orden alfabético, de todos los casos en cada sala del tribunal cada día.  “Fijar fecha en el calendario” quiere decir especificar el día, la hora y la sala del tribunal para un caso.",
CALIFORNIA RULES OF COURT,The rules for practices and procedures in California’s state courts.,REGLAS DE LOS TRIBUNALES DE CALIFORNIA,Las reglas para la  práctica y procedimientos en los tribunales del estado de California.,
CALJIC,"California Jury Instructions, Criminal.",CALJIC,Instrucciones para los jurados en los tribunales de California para casos penales.,
CALLING THE DOCKET,"The public calling of the docket or list of causes at the beginning of court, for setting a time for trial or entering orders.",CONVOCATORIA DE EXPEDIENTE,"Convocatoria pública de expediente o lista de litigios al principio de la sesión del tribunal, para establecer un horario para juicios y otros procesos del tribunal.",
CAPACITY,The person with the ability to perform under his or her will.,CAPACIDAD,Persona con la capacidad de actuar bajo su propia voluntad.,
CAPITAL CASE,A criminal case where the defendant can get the death penalty.,CASO CON PENA DE MUERTE,Un proceso penal en el cual el acusado puede ser sentenciado a la pena de muerte.,
CAPITAL CRIME,A crime punishable by death.,DELITO CON PENA DE MUERTE,Un delito que puede ser penalizado con la pena de muerte.,
CAPITAL OFFENSE,A crime that you can get the death penalty for committing.,DELITO PENALIZADO CON PENA DE MUERTE,Un delito que puede ser castigado con la pena de muerte.,
CAPITAL PUNISHMENT,Punishment by death.  (See DEATH PENALTY.),PENA DE MUERTE,Castigo con la pena de muerte.,
CAPTION,"What is written at the top of all papers (called ""pleadings"") given to the court. It says things like case name, court, and case number.",EPÍGRAFE,"Lo que está escrito al comienzo de cada documento (llamados “alegatos”) entregado al tribunal.  Dice cosas como el nombre del caso, el tribunal y el  número del caso.",
CARJACKING,"Taking a motor vehicle that belongs to someone else against his will, by means of force or fear.",ROBO DE VEHÍCULO,"Robo de un vehículo que pertenece a otra persona contra su voluntad,  utilizando fuerza o amenazas.",
CASE,"A lawsuit. Or a complaint filed in criminal, traffic, or civil court.",CASO,"Un juicio. O una demanda presentada en cortes penales, de tráfico o civiles.",
CASE FILE,The folder that has official court papers for a case.,ARCHIVO DE DOCUMENTACIÓN,El archivo que contiene los documentos oficiales  de un caso.,
CASEFLOW MANAGEMENT,How a case is managed from the first paper filed to the final decision.,ADMINISTRACIÓN DE PROCESO,La manera en que un proceso es dirigido desde el primer documento presentado hasta la decisión final.,
CASE ID,Identification number given to case by the court.,IDENTIFICACIÓN DE CASO,Número de identificación asignado a un caso por el tribunal.,
CASE LAW,Law made by earlier decisions in similar cases.,PRECEDENTES,Leyes creadas por previas decisiones en casos similares.,
CASELOAD,The number of cases a judge has in a specific time.,CANTIDAD DE CASOS,Número  de casos que tiene un juez en un periodo específico.,
CASE NUMBER,"The number that identifies a case. This number is on all papers filed in the case. Also called ""case ID."" Also called DOCKET NUMBER.",NÚMERO DE CASO,El número que identifica un caso. Este número está en todos los documentos presentados en dicho caso. También llamado “Identificación de caso” o “Número de expediente.”,
CAUSATION,The act which causes something else to happen.,CAUSALIDAD,El  hecho que causa que otra cosa ocurra.,
CAUSE,"A lawsuit, litigation, or action.",CAUSA,"Juicio, litigio, o acción.",
CAUSE OF ACTION,The charges that make up the case or lawsuit. (See COUNTS).,ACCIÓN DEL LITIGIO,Los cargos que causaron el litigio o demanda.,
CAUSTIC CHEMICALS,Corrosive acid or flammable substance.,QUÍMICOS CÁUSTICOS,Ácido corrosivo o substancia inflamable.,
CAUTIONARY INSTRUCTION,When the judge tells the jury to consider certain evidence only for a specific purpose.,INSTRUCCIONES PREVENTIVAS,Cuando un juez instruye al jurado que considere cierta evidencia sólo para un propósito específico.,
CAVEAT,A warning; a note of caution.,ADVERTENCIA,Un aviso; una nota de cautela.,
CAVEAT EMPTOR,"A theory that says you buy things at your own risk. Comes from the Latin for ""let the buyer beware.""",A RIESGO DEL COMPRADOR,Teoría que dice que una persona compra algo asumiendo los riesgos. Viene del latín y significa “que el comprador tenga cuidado.”,
CEASE AND DESIST ORDER,An order of an administrative agency or court prohibiting a person or business from doing something.,ORDEN DE CESAR Y DESISTIR,Una orden de una agencia administrativa o tribunal que prohíbe a una persona o negocio hacer algo.,
CERTIFICATE OF PROBABLE CAUSE,An order signed by the court granting a defendant the right to appeal from a plea of guilty.,CERTIFICADO DE CAUSA PROBABLE,Una orden firmada por el tribunal concediendo al acusado el derecho de apelación de una declaración de culpabilidad.,
CERTIFICATION,A judge's order to move a criminal case to another court in a different county.,CERTIFICACIÓN,Las órdenes de un juez para mover un caso penal a otro tribunal en otro condado.,
CERTIFIED,Saying that something is true or an exact reproduction.,CERTIFICADO,Declarando que algo es verdadero o una reproducción exacta.,
CERTIFIED COPY,"An official copy of a paper from a case file that is marked as being true, complete, and a real copy of the original legal case.",COPIA CERTIFICADA,"Una copia oficial de un documento judicial marcada como verídica y verdadera, completa, y  copia real del proceso legal original.",
CERTIORARI,Appeal to U.S. Supreme Court.,AUTO DE AVOCACIÓN,Apelación a la Corte Suprema de los Estados  Unidos.,
CHAIN OF CUSTODY,A method to track the whereabouts of evidence from the moment it is received in custody until it is offered in court.,CADENA DE CUSTODIA,Un método para localizar el paradero de la evidencia desde el momento en que se recibe en custodia hasta que es ofrecida en el tribunal.,
CHALLENGE,Someone's right to object to or fight something in a legal case.,IMPUGNACIÓN,El derecho de alguien de objetar o litigar por algo o en contra de alguien en un proceso legal.,
CHALLENGE FOR CAUSE,Reasons that a lawyer gives for removing a juror or judge from a case. (Compare with PEREMPTORY CHALLENGE.),IMPUGNACIÓN POR CAUSA,Las razones que da un abogado para remover a un jurado o juez de un caso.,
CHALLENGE TO THE ARRAY,"Questioning the qualifications of an entire jury panel, usually on the ground of partiality or some fault in the process of summoning the panel.",IMPUGNACIÓN AL JURADO,"Cuestionar la capacidad de todo un jurado, normalmente por motivo de parcialidad o alguna falta en el proceso de citar a los jurados.",
CHAMBERS,A judge's private office.,CÁMARA,La oficina privada del juez.,
CHANGE OF VENUE,When a civil or criminal case is moved from one court jurisdiction to another. (See VENUE).,TRASLADO DE COMPETENCIA,"Cuando el caso, civil o penal se cambia de una a otra jurisdicción",
CHARACTER EVIDENCE,Evidence pertaining to whether a criminal defendant is a good or bad person.,PRUEBA DE CARÁCTER,Evidencia que se refiere al carácter o reputación de un acusado de delito penal.,
CHARGE,"In criminal law, each thing the defendant is accused of. (See COUNT).",CARGO,"En derecho penal, cada unos de los cargos con los que se acusa al demandado.",
CHARGE TO THE JURY,The judge's instructions to the jury concerning the law that applies to the facts of the case on trial.,INSTRUCCIONES AL JURADO,Las instrucciones que da el juez al jurado sobre la ley que se aplica a los hechos o alegatos del proceso judicial.,
CHARGING DOCUMENT,"A written accusation saying a defendant has committed an offense. Includes a citation, an indictment, information, and statement of charges.",DOCUMENTO DE ACUSACIÓN,"Una acusación escrita que afirma que el acusado ha cometido un delito. Incluye una citación, una acusación, información, y declaración de cargos.",
CHATTEL,A piece of personal property.,BIEN MUEBLE,Una pieza de propiedad personal.,
CHIEF JUDGE,Presiding or Administrative Judge in a court.,PRIMER MAGISTRADO,El juez que administra o que preside en un tribunal.,
CHILD ABUSE,"Hurting a child physically, sexually or emotionally.",ABUSO DE NIÑOS,"Lastimar a un niño física, sexual, o emocionalmente.",
CHILD ABDUCTION,"The offense of taking away a child by deceit and persuasion, or by violence.",SECUESTRO DE NIÑO,"El delito de llevarse a un niño usando engaño y persuasión, o violencia.",
CHILD MOLESTATION,"Any form of indecent or sexual activity on, involving, or surrounding a child under the age of 18.",ABUSO SEXUAL DE NIÑOS,"Cualquier forma de actividad indecente o sexual, implicando, o que tiene que ver con un niño menor de 18 años.",
CHILD PORNOGRAPHY,Any obscene material that depicts a person under the age of 18 years personally engaging in or personally simulating sexual conduct.,PORNOGRAFÍA INFANTIL,Cualquier material obsceno que representa a un menor de 18 años personalmente empeñado o personalmente simulando una conducta sexual.,
CHILD PROCUREMENT,"Intentionally giving, transporting, providing, or making available or offering to give, transport, provide, or make available a child under the age of 16 for the purpose of any lewd or lascivious act.  Also causing, inducing, or persuading a child under the age of 16 to engage in any lewd or lascivious act with another person.",OBTENCIÓN DE NIÑOS,"Intencionalmente dar, transportar, proporcionar o hacer accesible un menor de 16 años con el propósito de cometer actos lascivos o lujuriosos. También causar, inducir o persuadir a un menor de 16 años para que participe en actos lascivos o lujuriosos.",
CHILD SUPPORT,Money paid by a parent to help support a child or children.,SUSTENTO DE MENOR,Dinero que paga el padre para ayudar a sostener a su hijo o hijos.,
CHILD SUPPORT ENFORCEMENT (CSE) AGENCY,"Agency that exists in every state to find parents that don’t have custody. (called ""noncustodial parents,"" or ""NCPs""). Or to find a person assumed to be the father of the child (“Putative father” or ""PF"").  Also, makes, enforces, and changes child support.  Collects and gives out child support money.",AGENCIA PARA HACER CUMPLIR SUSTENTO DE MENORES,"Una agencia que existe en cada estado para encontrar a los padres que no tienen custodia (llamados “padres no custodios”).  O encontrar a la persona presunta a ser el padre del menor (“padre putativo”).  También requiere, hace cumplir, y cambia la manutención de un menor.  Colecciona y distribuye dinero de sustento de menores.",
CIRCUMSTANTIAL EVIDENCE,All evidence that is indirect. Testimony not based on actual personal knowledge or observation of the facts in dispute.,PRUEBA CIRCUNSTANCIAL,Toda evidencia que es indirecta. Testimonio no basado en actual conocimiento personal u observación sobre las pruebas disputadas.,
CITATION,A COURT ORDER or SUMMONS that tells a defendant what the charges are. Also tells the defendant to go to court and/or post bail.,CITACIÓN,Una ORDEN DE CORTE o CONVOCATORIA que informa al acusado de los cargos. También le informa que tiene que asistir a corte y/o pagar fianza.,
CITED,"When a defendant is not in custody, but has signed a ticket promising to go to court on a certain day.",CITADO,"Cuando un acusado no está bajo custodia, pero ha firmado una boleta prometiendo comparecer en corte en un día especificado.",
CIVIL ACTION,"Noncriminal case in which one private individual or business sues another to protect, enforce private or civil rights.",JUICIO CIVIL,Un caso no penal en que un individuo o negocio privado demanda a otra persona o negocio para proteger o hacer cumplir derechos privados o civiles.,
CIVIL CASE,"A lawsuit to get property back, to force someone to complete a contract, or to protect someone's civil rights.",CASO CIVIL,"Una demanda para recuperar propiedad, o forzar a alguien a que cumpla con un contrato, o proteger los derechos civiles de alguien.",
CIVIL JURISDICTION,A court’s right or power to hear noncriminal civil cases.,JURISDICCIÓN CIVIL,El derecho o poder que tiene el tribunal para conocer casos civiles pero no penales.,
CIVIL PROCEDURE,"The rules and process by which a civil case is tried and appealed, including the preparations for trial, the rules of evidence and trial conduct, and the procedure for pursuing appeals.The rules and process by which a civil case is tried and appealed, including the preparations for trial, the rules of evidence and trial conduct, and the procedure for pursuing appeals.",PROCEDIMIENTO CIVIL,"Las reglas y procedimientos mediante los cuales un caso civil es procesado y apelado, incluyendo las preparaciones para el juicio, las reglas de evidencia y conducta en el tribunal, y el procedimiento para solicitar apelaciones.",
CIVIL PROCESS,Court papers that tell the people in a civil case that it has started.  Or papers that try to force the court to reach a judgment.,PROCESO CIVIL,Documentos judiciales que explican a las personas que un caso civil ha comenzado. O documentos que tratan de forzar a un tribunal para llegar a una decisión.,
CIVIL RIGHTS VIOLATIONS,"Violations of the personal, natural rights guaranteed and protected by the Constitution.",VIOLACIONES DE DERECHOS CIVILES,"Violaciones de los derechos personales, naturales, garantizados y protegidos por la constitución.",
CLAIM,The statement of a right to money or property.,DEMANDA,Una declaración del derecho a dinero o propiedad.,
CLAIM OF EXEMPTION,"A court paper filed by the JUDGMENT DEBTOR that lists each piece of property that the judgment debtor claims is an exempt asset under certain provisions of the law and, therefore, can’t be taken to pay the JUDGMENT.",DEMANDA DE EXENCIÓN,"Petición presentada por el DEUDOR  que nombra cada propiedad que reivindica como activos exentos bajo ciertas provisiones de la ley y que, por lo tanto, no pueden ser utilizados para pagar una SENTENCIA.",
CLAIM SPLITTING,When you split up a civil claim and file two lawsuits to stay below the limit of how much money you can ask for.  Not allowed in most cases.,DIVISIÓN DE DEMANDA,Cuando se divide una demanda civil y se presentan dos demandas separadas para permanecer bajo el límite de dinero que se puede pedir.  No es permitido en la mayoría de los casos.,
CLASS ACTION,A lawsuit brought by one or more persons on behalf of a larger group.,ACCIÓN  DE CLASE,Una demanda presentada por una o más personas en nombre de un grupo mayor.,
CLEAR AND CONVINCING EVIDENCE,Standard of proof commonly used in civil lawsuits and in regulatory agency cases. It governs the amount of proof that must be offered in order for the plaintiff to win the case.,PRUEBA CLARA Y CONVINCENTE,Estándar de prueba comúnmente usado en damandas civiles y en casos de agencias regulatorias. Gobierna la cantidad de prueba que tiene que ofrecer el demandante para ganar la demanda.,
CLEMENCY OR EXECUTIVE CLEMENCY,"Act of grace or mercy by the president or governor to ease the consequences of a criminal act, accusation, or conviction. It may take the form of commutation or pardon.",CLEMENCIA O CLEMENCIA EJECUTIVA,"Acto de gracia o compasión de parte del presidente o del gobernador para mitigar las consecuencias de un acto criminal, acusación o condena.  Puede ser en la forma de conmutación o perdón.",
CLERICAL ERROR,"An unintentional mistake, in writing, which may be made by clerk, counsel, or court. (See NUNC PRO TUNC.)",EROR CLERICAL,"Error por escrito hecho sin intención, el cual podría haber sido hecho por un secretario, consejero, o tribunal.",
CLERK,"Officer of the court who files pleadings, motions, judgments, etc., issues process, and keeps records of court proceedings.",SECRETARIO DEL TRIBUNAL,"Oficial del tribunal que archiva alegatas, mociones, sentencias, etc., reparte procedimientos y toma notas de los procedimientos del tribunal.",
CLERK’S TRANSCRIPT,"Those pleadings, minute orders, affidavits, written opinions of the Court, trial exhibits, etc., designated by the attorneys which have been filed during the course of the litigation process are put together with the appeal documents and collectively form the Clerk’s Transcript.",TRANSCRIPCIÓN DEL SECRETARIO DEL TRIBUNAL,"Los alegatos, minutas, declaraciones juramentadas, opiniones escritas por el tribunal, pruebas instrumentales, etc., designados por los abogados que han sido presentados en el curso del proceso de litigio y se ponen junto con los documentos de apelación y colectivamente son designados como la Transcripción del secretario del tribunal.",
CLOSING ARGUMENT,Counsel's final statement to the judge/and or jury after all parties have concluded their presentation of evidence.,ARGUMENTO FINAL,Los argumentos finales del abogado al juez o al jurado después de que todas las partes han concluido la presentación de evidencia.,
CODE,"The law created by statutes. For example, the California Code of Civil Procedure, California Civil Code, California Vehicle Code, California Penal Code, and California Health and Safety Code.",CÓDIGO,"La ley creada por estatutos.  Por ejemplo, el Código de Procedimiento Civil de California, el Código de Vehículos de California, el Código Penal de California, y el Código de Salud y Seguridad de California.",
CODE OF PROFESSIONAL RESPONSIBILITY,The rules of conduct that govern the legal profession. The Code contains general ethical guidelines and specific rules written by the American Bar Association.,CÓDIGO DE RESPONSABILIDAD PROFESIONAL,Las reglas de conducta que gobiernan la profesión legal.  El código contiene direcciones generales éticas y reglas específicas escritas por la Asociación Americana de Abogados.,
CO–DEFENDANT,"In a criminal case, an individual charged with involvement in the same crime as another.",COACUSADO,"En un caso penal, un individuo a quien se acusa de estar implicado en el mismo delito de otra persona.",
CODICIL,A legal paper that adds to or changes a will.,CODICILO,Un documento legal por el cual se cambia o modifica un testamento.,
COERCION,Compulsion; constraint; compelling by force or arms or threat.,COERCIÓN,"Compulsión; restricción; obligación por la fuerza, armas o amenaza.",
COHABITANT,One who lives with another.,COHABITANTE,Una persona que vive con otra.,
COLLATERAL,"1. Property that is pledged as security against a debt. 2. A person belonging to the same ancestry (a relation), but not in a direct line of descent.",COLATERAL,"1. La propiedad que se promete como garantía del pago de una deuda. 2. Una persona que pertenece a la misma ascendencia (una relación), pero no en una línea directa de descendencia.",
COLLATERAL ATTACK,An attack on a judgment other than a direct appeal to a higher court.,ATAQUE COLATERAL,Un ataque contra el fallo de un tribunal en lugar de una apelación directa a un tribunal superior.,
COMBUSTIBLE MATERIAL OR DEVICE,Capable of blowing up; apt to catch fire; inflammable.,MATERIAL O APARATO COMBUSTIBLE,Capaz de explotar; propenso a incendiarse; sustancia inflamable.,
COMMISSIONER,A person chosen by the court and given the power to hear and make decisions in certain kinds of legal matters.,COMISIONADO,Una persona escogida por el tribunal a quien se da el poder de conocer y tomar decisiones en ciertas clases de asuntos legales.,
COMMIT,"To do something, like ""to commit"" a crime, or to put someone in a sheriff's custody. Or to use a court order to send a person to jail.",COMETER/CONFINAR,"Hacer algo, como “cometer” un crimen, o poner a alguien bajo la custodia de un alguacil. O utilizar una orden del tribunal para encarcelar a una persona.",
COMMITMENT,1. The action of sending a person to a prison or mental institution. 2. The order directing an officer to take a person to a prison or mental institution.,CONFINAMIENTO,1. La acción de enviar una persona a una prisión o institución mental. 2. La orden por la que un oficial confina a alguien en una prisión o una institución mental.,
COMMITMENT ORDER,"A court order that says a person must be kept in custody, usually in a jail or mental institution.",ORDEN DE CONFINAMIENTO,"Una orden del tribunal que ordena confinar a una pesona bajo custodia, generalmente en una cárcel o una institución mental.",
COMMON BARRATRY(also called BARRETRY),Making a habit of starting fights or lawsuits. Starting lawsuits without a good reason.,BARATERÍA COMÚN,El hábito de comenzar litigios o demandas. Comenzar litigios sin razones o bases legales.,
COMMON CARRIER,Required by law to carry passengers or freight without refusal if the fare is paid; in contrast to a private or contract carrier.,EMPRESA DE TRANSPORTE PÚBLICO,Requerido por la ley para llevar pasajeros o carga sin poder rehusar si el pasaje es pagado; en contraste con un transportador privado o contratatado.,
COMMON LAW,"Laws that come from court decisions and not from statutes (""codes"") or constitutions.",DERECHO CONSUETUDINARIO,Leyes que vienen de decisiones de tribunal y no de estatutos (“códigos”) ni constituciones.,
COMMUNITY OBLIGATIONS,"Debts that a husband and wife owe together.  In most cases, that includes anything that you still owe on any debts either of you had during the time you were living together as husband and wife. For example, if you bought furniture on credit while you were married and living together, the unpaid balance is a part of your community obligations.",COMUNIDAD DE OBLIGACIONES,"Deudas que marido y mujer deben juntos. En la mayoría de los casos, incluye deudas incurridas durante el tiempo que vivieron juntos como marido y mujer. Por ejemplo, si compraron muebles a crédito mientras estaban  casados y viviendo juntos, el saldo no pagado forma parte de la comunidad de obligaciones.",
COMMUNITY PROPERTY,Everything that a husband and wife own together. In most cases that includes: (1) Money or benefits like pensions and stock options that you now have which either of your earned during the time you were living together as husband and wife; and (2) Anything either of you bought with money earned during that period.,COMUNIDAD DE BIENES MATRIMONIALES,Todo lo que un marido y mujer poseen juntos. En la mayoría de los casos incluye: (1) Dinero o beneficios como las pensiones y acciones que fueron adquiridas por uno de los esposos durante el tiempo que vivieron juntos como marido y mujer; y (2) cualquier propiedad adquirida con ingresos obtenidos durante ese periodo.,
COMMUNITY SERVICE,"Work performed as punishment for a crime. It may also be performed instead of a fine, or as a condition of probation.",SERVICIO COMUNITARIO,"Trabajo realizado como castigo por un delito. Se puede realizar también en vez de una multa, o como una condición de la libertad condicional.",
COMMUTATION,"The reduction of a sentence, such as from death to life imprisonment.",CONMUTACIÓN,"La reducción de una sentencia, como por ejemplo de condena de muerte a encarcelamiento de por vida.",
COMPARATIVE FAULT,Percentage of fault which is assigned to any one party.,CULPA COMPARATIVA,Porcentaje de culpa asignado a cualquiera de las partes en un litigio.,
COMPARATIVE NEGLIGENCE,A legal doctrine by which acts of the opposing parties are compared to determine the liability of each party to the other for negligent acts.,NEGLIGENCIA COMPARATIVA,Una doctrina legal por la cual los actos de las partes se comparan para determinar la obligación de cada parte con la otra por  actos negligentes.,
COMPENSATORY DAMAGES,Money that one person must pay another to cover the cost of a wrong or injury. (See DAMAGES).,DAÑOS COMPENSATORIOS,Dinero que una persona debe pagar a otra para cubrir el costo de daños o lesiones. (Vea DAÑOS),
COMPETENCE ORDER,An order from a superior court that says that a defendant is mentally able to go to trial.  Tells the trial court to go ahead with the criminal case.,ORDEN DE COMPETENCIA,Una orden de un tribunal superior que determina que el acusado es mentalmente capaz de participar en el juicio. Ordena al tribunal inferior que proceda con el juicio penal.,
COMPETENCY,"The ability for a person to understand and communicate, especially with regard to standing trial and assisting counsel in his or her defense.",COMPETENCIA,"La habilidad de una persona de comprender y comunicarse, especialmente con respecto a participar en el juicio y para asistir a su abogado en su propia defensa.",
COMPLAINANT,"Person who wants to start a court case against another person. In a civil case, the complainant is the PLAINTIFF. In a criminal case, the complainant is the state.",RECLAMANTE,"Persona que desea comenzar un caso contra otra persona. En un caso civil, el reclamante es el DEMANDANTE. En un caso penal, el reclamante es el estado.",
COMPLAINT,"The legal document that usually begins a civil lawsuit and is also used to start a criminal case.  Says what the plaintiff thinks the defendant did and asks the court for help. Also called the ""initial pleading"" or ""petition.""",DEMANDA,Documento legal por el cual se comienza una demanda civil. También se usa para comenzar un caso penal. Indica lo que el demandante piensa que hizo el acusado y pide ayuda al tribunal. Es también conocido como “alegato inicial” o “petición.”,
COMPLY,"To act in accordance with, to accept, to obey.",CUMPLIR,"Actuar de acuerdo con algo, aceptar, obedecer.",
COMPOSITE DRAWING,A picture of an alleged criminal created by a professional police artist using verbal descriptions given by the victim or a witness.,RETRATO DIBUJADO DE UN DELINCUENTE,Dibujo de un supuesto delincuente creado por un artista profesional de policía que utiliza las descripciones verbales dadas por la víctima o un testigo.,
CONCEALMENT,"Withholding of something which one knows and which one, in duty, is bound to reveal.",OCULTACIÓN,Cuando alguien retiene o esconde información que conoce y que es su deber revelar.,
CONCILIATON,"A form of alternative dispute resolution in which the parties bring their dispute to a neutral third party, who helps lower tensions, improve communications, and explore possible solutions. Similar to mediation, but it may be less formal.",CONCILIACIÓN,"Una forma de resolución alternativa de disputa en la que las partes presentan su litigio ante una tercera parte neutral, que ayuda a bajar las tensiones, mejorar las comunicaciones, y explorar las soluciones posibles. Semejante a la mediación, pero puede ser menos formal.",
CONCURRENT JURISDICION,"The territory of two or more courts, that are each authorized to deal with the same subject matter.",JURISDICIÓN SIMULTÁNEA,"El territorio de dos o más tribunales, autorizados a tratar el mismo tema.",
CONCURRENT PLANNING,"Refers to the legal requirement in dependency cases that reunification services be provided at the same time an alternative plan is developed (e.g., adoption , guardianship) if  needed.",PLANIFICACION SIMULTÁNEA,"Se refiere al requisito legal en casos de dependencia en los que servicios de reunificación son proporcionados al mismo tiempo que un plan alternativo es desarrollado (por ejemplo: adopción, tutela) si es necesario.",
CONCURRENT SENTENCES,"Sentences you can serve at the same time. For example, if you have concurrent sentences of 10 years and 5 years, you must serve a total of 10 years.  (Compare with CONCURRENT SENTENCES).",SENTENCIA SIMULTÁNEA,"Sentencias que pueden servirse al mismo tiempo. Por ejemplo, si alguien recibe sentencias simultáneas de 10 y 5 años, la persona puede servir un total de 10 años.",
CONCURRING CAUSES,"Acting contemporaneously and together causing injury, which would not have resulted in absence of either.",CAUSAS CONCURRENTES,"Actos que ejecutados juntos y al mismo tiempo causan daños o lesiones, que no habrían resultado con la ausencia de cualquiera de los dos.",
CONDEMNATION,"The legal process by which the government takes private land for public use, paying the owners a fair price. (See EMINENT DOMAIN.)",CONDENA,"El proceso legal por el cual el gobierno toma tierras privadas para el uso público, pagando a los dueños un precio justo. (ver DOMINIO EMINENTE)",
CONDITIONS,"Certain things that someone has to do, or not do, to be released.",CONDICIONES,"Ciertos actos que una persona debe hacer, o no hacer, para ser puesto en libertad.",
CONDITIONAL RELEASE,"Freedom from custody which regulates the activities and associations of the defendant. If a defendant fails to meet the conditions, the release is cancelled.",LIBERTAD CONDICIONAL,"Tipo de libertad que controla las actividades y las asociaciones del acusado. Si el acusado falla en el cumplimiento de estas condiciones, la libertad se cancela.",
CONDUCT ENHANCEMENTS,A kind of punishment–enhancing allegation (such as the arming clause of Penal Code section 12022) that relates to the nature of the offense at the time the crime was committed.,CONDUCTA QUE AUMENTA LA SENTENCIA,Una clase de alegación que aumenta el castigo (como por ejemplo la cláusula de estar armado de la sección 12022 del Código Penal) que se relaciona al delito en el momento en que se cometió.,
CONFESSION,When someone admits out loud or in writing that they committed a certain kind of crime. (Compare with ADMISSION).,CONFESIÓN,Cuando alguien admite en oralmente o por escrito que  cometió un tipo de delito. (Comparar con ADMISIÓN).,
CONFESSION OF JUDGEMENT,"The act of a debtor in a written statement that permits judgment to be entered against him by his creditor, without legal proceedings.",CONFESIÓN DE SENTENCIA,"El acto de un deudor en una declaración escrita que permite que el fallo sea ejecutado en su contra por su acreedor, sin procesos legales adicionales.",
CONFIDENTIAL,A file or record that is not available for public viewing. Authorized viewing allowed only in statute and/or court policy. Files and records are identified and receive special handling.,CONFIDENCIAL,Un archivo o registro que no está disponible públicamente. Sólo puede ser visto con permiso de un tribunal o por permiso de estatuto. Dichos archivos y  registros son identificados y  reciben un manejo especial.,
CONFIDENTIAL RECORD,Information in a court case that is not available to the public.,REGISTRO CONFIDENCIAL,Información en un caso del tribunal que no está disponible al público.,
CONFIDENTIALITY,Treated as private and not for publication.,CONFIDENCIALIDAD,Tratado como privado y no para su publicación.,
CONFISCATE,To seize or take private property for public use (the police took the weapon).,CONFISCAR,"Incautar o tomar la propiedad privada para el uso público (por ejemplo, la policía confiscó el arma).",
